id,id_category,name,id_brand
252,21,Xbox Series S & 3 Month Game Pass Ultimate Bundle - 512 GB SSD,76
253,21,Switch Lite - Coral,78
254,21,Switch Lite - Blue,78
255,21,Switch Neon & Ring Fit Adventure,78
256,21,"Switch OLED White, Games & SanDisk 256 GB Memory Card Bundle",78
257,21,Switch Lite - Grey,78
258,21,Switch OLED & Sports Bundle - White,78
259,21,Switch OLED White & Mario Kart 8 Deluxe Bundle,78
260,21,Switch Lite - Yellow,78
261,21,"Switch OLED Neon, Games & SanDisk 256 GB Memory Card Bundle",78
262,22,CFSEWH18 50 cm Electric Solid Plate Cooker - White,82
263,22,KDC66SS19 60 cm Electric Ceramic Cooker - Stainless Steel,83
264,22,LFTC60W16/A 60 cm Electric Ceramic Cooker - White,10
265,22,KTG606S19 60 cm Gas Cooker - Silver,83
266,22,CFSESV18 50 cm Electric Solid Plate Cooker - Inox & Black,82
267,22,KDGC66S19 60 cm Dual Fuel Cooker - Silver,83
268,22,KDC606B19 60 cm Electric Ceramic Cooker - Black,83
269,22,LFTC60B16 Electric Cooker - Black,10
270,22,LFTC50W16 Electric Ceramic Cooker - White,10
271,22,LFTG60B16 Gas Cooker - Black,10
272,22,KDOI60X20 Electric Induction Cooker - Stainless Steel,83
273,22,CFSGSV18 50 cm Gas Cooker - Inox,82
274,22,Milano ML61CDS Electric Ceramic Cooker - Silver & Chrome,80
275,22,Pro XDC663SM 60 cm Electric Cooker - Silver,81
276,22,CFTE60W17 60 cm Electric Solid Plate Cooker - White,82
277,22,CFSE60W18 60 cm Electric Solid Plate Cooker - White,82
278,22,LFTG60W16 60 cm Gas Cooker - White,10
279,22,LRC100B21 100 cm Dual Fuel Range Cooker - Black,10
280,22,KTG506W19 50 cm Gas Cooker - White,83
281,22,XDC653K 60 cm Electric Ceramic Cooker - Black & Silver,81
282,23,Retro SWPS5020PN 5-piece Non-stick Pan Set - Pink,25
283,23,93684-1 3-piece Saucepan Set - Stainless Steel,88
284,23,Retro 2-piece Non-stick Frying Pan Set - Red,25
285,23,Metallic COMBO-8044 3-piece Non-stick Frying Pan Set - Black & Champagne,23
286,23,Retro 5-piece Non-stick Pan Set - Green,25
476,39,Retro Towel Pole - Red,25
287,23,Retro 2-piece Non-stick Frying Pan Set - Cream,25
288,23,Retro SWPS3020CN 3-piece Non-stick Saucepan Set - Cream,25
289,23,Retro SWPS3020GRN 3-piece Non-stick Saucepan Set - Grey,25
290,23,Induction Cooktop Adapter Plate,24
