id_parameter,name,unit
559,Chop / slice / grate / mix / puru00e9e,
560,Chop / slice / grate / mix / puru00e9e / knead / whisk / whip / blend / juice / crush ice,
561,Chop / slice / grate / mix / knead / whisk / whip / blend,
562,2 speed levels,
563,Chop / slice / grate / mix / puru00e9e / knead / whisk / whip / blend / juice,
564,Chop / slice / grate / mix / blend,
565,Includes 5 accessories,
567,Pulse function,
569,Slice / mix / whisk / whip,
571,Chop / slice / grate / mix / puru00e9e / blend,
572,3 speed levels with pulse function,
574,Includes 2 accessories,
575,Chop / puru00e9e / blend,
577,Chop,
578,Includes 15 accessories,
579,Chop / slice / grate / mix / knead / whisk / whip,
580,Chop / mix / puru00e9e / blend / crush ice,
581,Chop / puru00e9e / blend / mix,
583,2 speed levels with pulse function,
584,84.5 x 55.5 x 57.5 cm (H x W x D),
585,Table top design,
586,85.4 x 54.5 x 47.7 cm (H x W x D),
587,85.4 x 80.3 x 55.7 cm (H x W x D),
588,143 x 55 x 54.5 cm (H x W x D),
589,Fast chill rapidly lowers the temperature inside the fridge,
590,No need to defrost with frost free technology,
591,185.3 x 59.5 x 68.8 cm (H x W x D),
592,171.4 x 59.5 x 65.5 cm (H x W x D),
593,84 x 54 x 59 cm (H x W x D),
594,Suitable for outbuildings,
596,84.5 x 56 x 57.5 cm (H x W x D),
597,85.4 x 62.5 x 55.7 cm (H x W x D),
598,Seamless design available in a variety of colours & finishes,
599,85 x 56 x 58 cm (H x W x D),
600,81.8 x 59.5 x 54.5 cm (H x W x D),
601,85 x 144.8 x 77 cm (H x W x D),
602,Fast freeze rapidly lowers the temperature inside the freezer,
603,Modular design can be combined with other Bespoke models,
604,Manual defrost,
605,85 x 98.5 x 63.5 cm (H x W x D),
606,51 x 44 x 47.5 cm (H x W x D),
607,81.8 x 47.5 x 50 cm (H x W x D),
608,84.2 x 47.5 x 44.8 cm (H x W x D),
609,Reversible door to open the door from either side,
610,84 x 54.5 x 59 cm (H x W x D),
611,145.7 x 54.5 x 59.5 cm (H x W x D),
612,Temperature alarm warns you if the temperature rises,
613,Digital display to easily check your settings,
614,174 x 55 x 56 cm (H x W x D),
615,179 x 91.3 x 74.3 cm (H x W x D),
616,Water dispenser (no plumbing required),
617,Fan cooling creates the ideal conditions in your fridge,
618,Total frost free,
619,Open door & temperature alarms warn you if the temperature rises,
620,Total No Frost means no defrosting & fresher food,
623,151.7 x 50.1 x 56 cm (H x W x D),
624,Food freshness feature to keep your fruit and veg fresh,
625,182.4 x 55 x 55.7 cm (H x W x D),
626,114.5 x 48 x 50 cm (H x W x D),
627,182.4 x 55.5 x 56.2 cm (H x W x D),
628,203 x 60 x 66 cm (H x W x D),
630,178 x 91.2 x 71.6 cm (H x W x D),
632,Fridge:,
633,186 x 60 x 66 cm (H x W x D),
634,143 x 49.5 x 56.2 cm (H x W x D),
635,177 x 90.5 x 57.5 cm (H x W x D),
636,185.5 x 63.5 x 68.2 cm (H x W x D),
637,166 x 54 x 54.5 cm (H x W x D),
639,149.5 x 55 x 58 cm (H x W x D),
640,Water & ice dispenser (requires plumbing),
641,177.2 x 54 x 54 cm (H x W x D),
643,178.5 x 91 x 64.5 cm (H x W x D),
644,185.3 x 59.5 x 65.8 cm (H x W x D),
645,136 x 55 x 58 cm (H x W x D),
647,84.5 x 56 x 62.3 cm (H x W x D),
648,64 x 44 x 51 cm (H x W x D),
649,Open door alarm warns you if the door is left open,
653,63 x 44.5 x 51 cm (H x W x D),
655,84 x 48 x 45.5 cm (H x W x D),
659,84.5 x 56 x 63.5 cm (H x W x D),
660,49.2 x 47.2 x 45 cm (H x W x D),
664,84.5 x 55.3 x 58.4 cm (H x W x D),
669,Icebox for your frozen food,
670,Auto defrost,
